Process,Cluster_KMeans,WCS,EDS,CTDS,Processing_Intensity
sweat,1,0.21794871794871779,0.5691029319779648,0.5700338491695774,0.4535385531934616
handle,5,0.32051282051282043,0.5112359165533529,0.5199496531017026,0.4512599652864161
submerge,5,0.5128205128205128,0.40719125061162376,0.4263725670996751,0.4485705547464946
spray,4,0.21794871794871779,0.5357911924305168,0.578433346785762,0.4454015083323065
flip,4,0.11538461538461536,0.5897924234204883,0.6189726072487832,0.4431591092702705
immerse,5,0.4102564102564102,0.4482931607016223,0.4690532122491359,0.44279945058085696
powdered,7,0.5128205128205128,0.36190628245233825,0.45157002096603416,0.4421936495684925
sift,7,0.11538461538461536,0.5980998962653319,0.604717711012302,0.4410539105886653
shake,7,0.21794871794871779,0.5394897349237677,0.5609648163433593,0.4406827270046624
wilt,0,0.11538461538461536,0.5855449306953404,0.6155225162894301,0.44058440574479163
scrape,5,0.32051282051282043,0.4874273469414241,0.49973143466503644,0.4365289430460131
smoke,1,0.21794871794871779,0.516551279026783,0.5614227512923534,0.4332687344413154
marinade,4,0.5128205128205128,0.3836658451128032,0.4028374096664088,0.4328052174045733
dissolve,0,0.5128205128205128,0.38936492487853247,0.3926185150578235,0.43121148956034494
toast,4,0.205128205128205,0.5083873178026501,0.5578544605286077,0.42513063914690885
squeeze,5,0.4038461538461538,0.42359664832898036,0.43504749053871816,0.4209722715009585
grind,7,0.21794871794871779,0.5137173862464524,0.5224502892120136,0.4190829127164908
blitz,7,0.21794871794871779,0.4942339087488692,0.5401413979653592,0.41866834211842585
bubble,0,0.30128205128205127,0.46401407076162404,0.4863767578456021,0.41791581794191757
slash,6,0.205128205128205,0.5191532175966527,0.5242931125166842,0.41727252775487567
blot,5,0.11538461538461536,0.5591025220792223,0.5716776108574645,0.41695114305460435
style,2,0.21794871794871779,0.4383658910509749,0.5835971475822904,0.4150068511478774
trim,6,0.11538461538461536,0.5562757558491918,0.5638996068769887,0.4133737888453325
twist,6,0.205128205128205,0.483774037422934,0.5468989383098278,0.41328337906721735
whip,7,0.11538461538461536,0.5417582720723466,0.5755607551312397,0.412547809605419
carve,2,0.21794871794871779,0.47897298302203817,0.531043659950427,0.41053900570349466
divide,2,0.30769230769230765,0.4421138707367138,0.47545476241174456,0.4090906581015703
meld,0,0.11538461538461536,0.5359971742281882,0.5706106908640588,0.4089636254660052
swirl,1,0.21794871794871779,0.500836715960274,0.5024110533656733,0.4080189513342962
thicken,0,0.42307692307692296,0.3872789012447997,0.4128170350499124,0.4077752139431387
garnish,2,0.42307692307692296,0.3617259043388892,0.43569235348365243,0.40712033323165986
thaw,5,0.11538461538461536,0.538178097283101,0.5531807970481609,0.4037571661767211
braise,0,0.3974358974358974,0.3906911367069328,0.4160819453833259,0.4015497826974648
uncover,0,0.42307692307692296,0.3890072321568523,0.39148678488273625,0.4010932780872762
process,7,0.4102564102564102,0.365187645662191,0.4203048712531211,0.3988001946791996
bake,2,0.11538461538461536,0.5132442402244362,0.5623661338475555,0.3986520078591559
rinse,5,0.21794871794871779,0.4875990342749854,0.48727055232296224,0.39850274602362923
repeat,2,0.30769230769230765,0.4109529972935364,0.4725435917688171,0.3978177718467264
scatter,2,0.4102564102564102,0.38710296642716546,0.3926692969001767,0.3966361552516401
square,3,0.32051282051282043,0.41297279021154987,0.4439726954177027,0.3930009679810611
char,4,0.11538461538461536,0.49463396282542704,0.5617762004893331,0.3923100389756873
uncovered,0,0.6153846153846152,0.267570380397505,0.2959028021878195,0.3919821013519583
whirl,7,0.21794871794871779,0.46874978737359174,0.4813723056875102,0.3902770906901156
seal,6,0.11538461538461536,0.5082062781760122,0.5419457817380856,0.3900465606659562
wipe,5,0.11538461538461536,0.5239238830348152,0.5237628909269704,0.389051187393582
assemble,2,0.5128205128205128,0.2985194238195821,0.3540484391426709,0.3881186483997394
wash,6,0.11538461538461536,0.5072849868640099,0.535723826853684,0.38762706987229895
strain,7,0.32051282051282043,0.4008184173595548,0.4298092611985732,0.3841744573053988
pop,1,0.0,0.5503036299155328,0.5917846777419827,0.38280698830439996
strip,6,0.21794871794871779,0.4388312787479187,0.47508147538042544,0.3782651005392347
brush,4,0.21794871794871779,0.45182384747375415,0.45475925861092514,0.3756430945171303
smear,2,0.21794871794871779,0.426829518925657,0.4685945937359487,0.3720989800387663
poach,5,0.21794871794871779,0.4178121475789234,0.475514925055205,0.3714761601428913
ladle,2,0.205128205128205,0.43654782628405764,0.46605474827670046,0.3702117047801249
seasoning,2,0.6153846153846152,0.20844452637995636,0.28339824257561963,0.3682190192580193
poke,6,0.11538461538461536,0.4890687759367516,0.4939011481429706,0.3673960095046611
dress,2,0.205128205128205,0.41352177200104734,0.4765252570477575,0.36617307984889086
burn,1,0.11538461538461536,0.4506483713959226,0.5116262167091356,0.3607437993186836
reduce,0,0.30769230769230765,0.38479367247497054,0.38853920743046777,0.36062370398156085
dust,3,0.11538461538461536,0.4617701833989414,0.5004221206795666,0.3606046046296264
stack,2,0.21794871794871779,0.4051983927969047,0.4420521017245226,0.35593626113239313
reheat,5,0.30769230769230765,0.36952231231162314,0.3843801429228305,0.35417007319505955
dripping,5,0.5128205128205128,0.2501757511956162,0.29743867964983794,0.35291791820626744
transfer,5,0.5128205128205128,0.25738090521252677,0.2881051857968876,0.3521222311218448
